2026-07-01 23:10:44,683 | INFO | rag_app | application_start=true
2026-07-01 23:12:40,871 | INFO | rag_app | retrieval_time_seconds=0.0120
2026-07-01 23:12:41,851 | INFO | rag_app | relevance=False
2026-07-01 23:12:57,028 | INFO | rag_app | user_question=help
2026-07-01 23:12:57,029 | INFO | rag_app | route=control
2026-07-01 23:13:06,853 | INFO | rag_app | user_question=what did i ask 3 questions ago
2026-07-01 23:13:06,854 | INFO | rag_app | route=memory
2026-07-01 23:13:29,165 | INFO | rag_app | user_question=what did i ask 1 question ago
2026-07-01 23:13:29,166 | INFO | rag_app | route=memory
2026-07-01 23:13:39,389 | INFO | rag_app | user_question=what did i ask 0 questions ago
2026-07-01 23:13:39,390 | INFO | rag_app | route=memory
2026-07-01 23:13:48,477 | INFO | rag_app | user_question=how many questions did i ask so far
2026-07-01 23:13:48,478 | INFO | rag_app | route=document
2026-07-01 23:13:49,467 | INFO | rag_app | rewritten_question=What did you ask so far?
2026-07-01 23:13:49,479 | INFO | rag_app | retrieval_time_seconds=0.0120
2026-07-01 23:13:50,468 | INFO | rag_app | relevance=False
2026-07-01 23:15:47,606 | INFO | rag_app | user_question=what is the second document about
2026-07-01 23:15:47,606 | INFO | rag_app | route=document
2026-07-01 23:15:48,588 | INFO | rag_app | rewritten_question=What is the second document about?
2026-07-01 23:15:48,608 | INFO | rag_app | retrieval_time_seconds=0.0203
2026-07-01 23:15:48,949 | INFO | rag_app | relevance=False
2026-07-01 23:16:12,501 | INFO | rag_app | user_question=summarize events mentioned in 2023
2026-07-01 23:16:12,502 | INFO | rag_app | route=document
2026-07-01 23:16:13,540 | INFO | rag_app | rewritten_question=What are the events mentioned in 2023?
2026-07-01 23:16:13,555 | INFO | rag_app | retrieval_time_seconds=0.0145
2026-07-01 23:16:14,400 | INFO | rag_app | relevance=False
2026-07-01 23:16:23,686 | INFO | rag_app | user_question=when is arc linux available for download
2026-07-01 23:16:23,687 | INFO | rag_app | route=document
2026-07-01 23:16:24,630 | INFO | rag_app | rewritten_question=When is ARCLinux available for download?
2026-07-01 23:16:24,646 | INFO | rag_app | retrieval_time_seconds=0.0158
2026-07-01 23:16:25,784 | INFO | rag_app | relevance=False
2026-07-01 23:20:36,573 | INFO | rag_app | user_question=exit
2026-07-01 23:20:36,574 | INFO | rag_app | route=control
2026-07-01 23:21:07,437 | INFO | rag_app | application_start=true
2026-07-01 23:21:15,997 | INFO | rag_app | user_question=help
2026-07-01 23:21:15,998 | INFO | rag_app | route=control
2026-07-01 23:21:22,197 | INFO | rag_app | user_question=who wrote the report
2026-07-01 23:21:22,197 | INFO | rag_app | route=document
2026-07-01 23:21:22,941 | INFO | rag_app | rewritten_question=Who wrote the report?
2026-07-01 23:21:23,016 | INFO | rag_app | retrieval_time_seconds=0.0756
2026-07-01 23:21:23,366 | INFO | rag_app | relevance=False
2026-07-01 23:21:28,621 | INFO | rag_app | user_question=what files do you have
2026-07-01 23:21:28,621 | INFO | rag_app | route=meta
2026-07-01 23:21:35,126 | INFO | rag_app | user_question=what is the 4th document about
2026-07-01 23:21:35,126 | INFO | rag_app | route=file_lookup
2026-07-01 23:21:35,130 | INFO | rag_app | file_summary_filename=2023_07_06T163402-KDE_Gear_23043_Is_Out_as_the_Last_Update_in_the_Series_to_Fix_More_Bugs.pdf
2026-07-01 23:21:35,130 | INFO | rag_app | file_summary_retrieval_time_seconds=0.0029
2026-07-01 23:21:51,877 | INFO | rag_app | user_question=what is the second file about
2026-07-01 23:21:51,877 | INFO | rag_app | route=document
2026-07-01 23:21:53,455 | INFO | rag_app | rewritten_question=What is the second document about?
2026-07-01 23:21:53,468 | INFO | rag_app | retrieval_time_seconds=0.0124
2026-07-01 23:21:53,821 | INFO | rag_app | relevance=False
2026-07-01 23:22:04,278 | INFO | rag_app | user_question=what is the 50th document about
2026-07-01 23:22:04,278 | INFO | rag_app | route=file_lookup
2026-07-01 23:22:04,280 | INFO | rag_app | file_summary_filename=2023_10_08T205628-VLC_3019_Improves_AV1_HDR_Support_with_Software_Decoding_Fixes_Linux_Issues.pdf
2026-07-01 23:22:04,281 | INFO | rag_app | file_summary_retrieval_time_seconds=0.0021
2026-07-01 23:22:17,565 | INFO | rag_app | user_question=what is the 100th document about
2026-07-01 23:22:17,566 | INFO | rag_app | route=file_lookup
2026-07-01 23:22:39,644 | INFO | rag_app | user_question=2+2=
2026-07-01 23:22:39,644 | INFO | rag_app | route=general
2026-07-01 23:22:47,989 | INFO | rag_app | user_question=what is morality
2026-07-01 23:22:47,989 | INFO | rag_app | route=general
2026-07-01 23:22:51,005 | INFO | rag_app | user_question=what is linux
2026-07-01 23:22:51,005 | INFO | rag_app | route=document
2026-07-01 23:22:52,043 | INFO | rag_app | rewritten_question=What is Linux?
2026-07-01 23:22:52,056 | INFO | rag_app | retrieval_time_seconds=0.0130
2026-07-01 23:22:52,862 | INFO | rag_app | relevance=False
2026-07-01 23:23:04,565 | INFO | rag_app | user_question=when is arx linux available for download
2026-07-01 23:23:04,565 | INFO | rag_app | route=document
2026-07-01 23:23:05,504 | INFO | rag_app | rewritten_question=When is Arx Linux available for download?
2026-07-01 23:23:05,520 | INFO | rag_app | retrieval_time_seconds=0.0161
2026-07-01 23:23:06,567 | INFO | rag_app | relevance=False
2026-07-01 23:23:36,157 | INFO | rag_app | user_question=summarize events that happened in 2023
2026-07-01 23:23:36,157 | INFO | rag_app | route=document
2026-07-01 23:23:37,133 | INFO | rag_app | rewritten_question=What events happened in 2023?
2026-07-01 23:23:37,145 | INFO | rag_app | retrieval_time_seconds=0.0115
2026-07-01 23:23:38,011 | INFO | rag_app | relevance=False
2026-07-01 23:24:15,846 | INFO | rag_app | user_question=when is arc linux available for download
2026-07-01 23:24:15,846 | INFO | rag_app | route=document
2026-07-01 23:24:16,832 | INFO | rag_app | rewritten_question=When is Arx Linux available for download?
2026-07-01 23:24:16,845 | INFO | rag_app | retrieval_time_seconds=0.0124
2026-07-01 23:24:17,184 | INFO | rag_app | relevance=False
2026-07-01 23:24:22,925 | INFO | rag_app | user_question=when is arch linux available for download
2026-07-01 23:24:22,925 | INFO | rag_app | route=document
2026-07-01 23:24:23,789 | INFO | rag_app | rewritten_question=When is Arch Linux available for download?
2026-07-01 23:24:23,806 | INFO | rag_app | retrieval_time_seconds=0.0166
2026-07-01 23:24:24,842 | INFO | rag_app | relevance=True
2026-07-01 23:24:28,512 | INFO | rag_app | retrieved_sources=[{'filename': '2023_06_01T171357-9to5linux-First_Arch_Linux_ISO_Powered_by_Linux_Kernel_63_Is_Now_Available_for_Download.pdf', 'chunk_index': 3, 'source': 'data\\2023_06_01T171357-9to5linux-First_Arch_Linux_ISO_Powered_by_Linux_Kernel_63_Is_Now_Available_for_Download.pdf'}, {'chunk_index': 1, 'filename': '2023_10_14T082419-Arch_Linuxs_October_2023_ISO_Release_Brings_Linux_65_Installer_Improvements.pdf', 'source': 'data\\2023_10_14T082419-Arch_Linuxs_October_2023_ISO_Release_Brings_Linux_65_Installer_Improvements.pdf'}, {'source': 'data\\2023_10_14T082419-Arch_Linuxs_October_2023_ISO_Release_Brings_Linux_65_Installer_Improvements.pdf', 'chunk_index': 0, 'filename': '2023_10_14T082419-Arch_Linuxs_October_2023_ISO_Release_Brings_Linux_65_Installer_Improvements.pdf'}, {'source': 'data\\2023_06_01T171357-9to5linux-First_Arch_Linux_ISO_Powered_by_Linux_Kernel_63_Is_Now_Available_for_Download.pdf', 'chunk_index': 0, 'filename': '2023_06_01T171357-9to5linux-First_Arch_Linux_ISO_Powered_by_Linux_Kernel_63_Is_Now_Available_for_Download.pdf'}]
2026-07-01 23:25:13,813 | INFO | rag_app | user_question=what did i ask 3 questions ago
2026-07-01 23:25:13,813 | INFO | rag_app | route=memory
2026-07-01 23:25:22,919 | INFO | rag_app | user_question=what did i ask 1 question ago
2026-07-01 23:25:22,919 | INFO | rag_app | route=memory
2026-07-01 23:25:37,647 | INFO | rag_app | user_question=what did i ask 0 questions ago
2026-07-01 23:25:37,647 | INFO | rag_app | route=memory
2026-07-01 23:25:44,326 | INFO | rag_app | user_question=hello
2026-07-01 23:25:44,326 | INFO | rag_app | route=chat
2026-07-01 23:25:54,255 | INFO | rag_app | user_question=good morning
2026-07-01 23:25:54,255 | INFO | rag_app | route=chat
2026-07-01 23:26:03,837 | INFO | rag_app | user_question=im alex
2026-07-01 23:26:03,837 | INFO | rag_app | route=document
2026-07-01 23:26:04,694 | INFO | rag_app | rewritten_question=What did you say?
2026-07-01 23:26:04,708 | INFO | rag_app | retrieval_time_seconds=0.0139
2026-07-01 23:26:05,568 | INFO | rag_app | relevance=False
2026-07-01 23:29:11,591 | INFO | rag_app | user_question=help
2026-07-01 23:29:11,591 | INFO | rag_app | route=control
2026-07-01 23:29:26,574 | INFO | rag_app | user_question=exit
2026-07-01 23:29:26,574 | INFO | rag_app | route=control
